State ,GDP (Billion) 
Alabama,210.95
Alaska,52.79
Arizona,319.85
Arkansas,124.92
California,"2,746.9"
Colorado,342.75
Connecticut,260.83
Delaware,73.54
Florida,967.34
Georgia,554.3
Hawaii,88.14
Idaho,71.89
Illinois,820.36
Indiana,359.12
Iowa,190.2
Kansas,157.8
Kentucky,202.51
Louisiana,246.26
Maine,61.4
Maryland,393.63
Massachusetts,527.45
Michigan,505
Minnesota,351.11
Mississippi,111.71
Missouri,304.9
Montana,48.1
Nebraska,121.77
Nevada,156.31
New Hampshire,80.52
New Jersey,591.7
New Mexico,97.1
New York,"1,547.1"
North Carolina,538.3
North Dakota,55.49
Ohio,649.13
Oklahoma,189.16
Oregon,236.22
Pennsylvania,752.1
Rhode Island,59.46
South Carolina,219.1
South Dakota,49.93
Tennessee,345.22
Texas,"1,696.2"
Utah,165.53
Vermont,32.2
Virginia,508.66
Washington,506.35
West Virginia,76.8
Wisconsin,324.06
Wyoming,40.29
