State,HDI
Alabama,4.04
Alaska,5.06
Arizona,4.89
Arkansas,3.91
California,5.40
Colorado,5.53
Connecticut,6.17
Delaware,5.22
Florida,4.82
Georgia,4.62
Hawaii,5.53
Idaho,4.50
Illinois,5.31
Indiana,4.56
Iowa,5.03
Kansas,4.96
Kentucky,4.02
Louisiana,4.12
Maine,4.93
Maryland,5.94
Massachusetts,6.16
Michigan,4.76
Minnesota,5.69
Mississippi,3.81
Missouri,4.60
Montana,4.54
Nebraska,5.11
Nevada,4.63
New Hampshire,5.73
New Jersey,6.12
New Mexico,4.52
New York,5.66
North Carolina,4.57
North Dakota,4.90
Ohio,4.71
Oklahoma,4.14
Oregon,4.86
Pennsylvania,5.07
Rhode Island,5.38
South Carolina,4.35
South Dakota,4.79
Tennessee,4.22
Texas,4.65
Utah,5.03
Vermont,5.31
Virginia,5.47
Washington,5.40
West Virginia,3.95
Wisconsin,5.16
Wyoming,4.83
