State ,Human Happiness Score ,HDI
Minnesota,70.81,4.04
Utah,68.16,5.06
Hawaii,67.9,4.89
California,66.55,3.91
Nebraska,65.65,5.40
New Jersey,64.97,5.53
South Dakota,64.71,6.17
Iowa,64.52,5.22
Wisconsin,64.16,4.82
New Hampshire,63.47,4.62
Maryland,63.18,5.53
Virginia,62.43,4.50
Vermont,61.34,5.31
North Dakota,61.08,4.56
Colorado,60.84,5.03
Washington,60.35,4.96
Idaho,60.14,4.02
Connecticut,60.06,4.12
Massachusetts,59.42,4.93
Illinois,59.41,5.94
Arizona,56.97,6.16
New York,56.54,4.76
Montana,55.66,5.69
Pennsylvania,55.66,3.81
Maine,55.44,4.60
North Carolina,54.68,4.54
Kansas,54.64,5.11
Texas,54.64,4.63
Michigan,53.09,5.73
Georgia,53.03,6.12
Florida,51.83,4.52
Oregon,51.72,5.66
Rhode Island,51.17,4.57
Indiana,50.87,4.90
Delaware,50.65,4.71
Ohio,49.67,4.14
Nevada,48.95,4.86
South Carolina,48.55,5.07
Wyoming,46.96,5.38
New Mexico,45.53,4.35
Alaska,45.43,4.79
Tennessee,44.29,4.22
Missouri,43.86,4.65
Kentucky,41.69,5.03
Mississippi,38.89,5.31
Arkansas,37.33,5.47
Alabama,36.6,5.40
Louisiana,35.35,3.95
Oklahoma,34.97,5.16
West Virginia,34.89,4.83
