State ,HDI Score 
Minnesota,70.81
Utah,68.16
Hawaii,67.9
California,66.55
Nebraska,65.65
New Jersey,64.97
South Dakota,64.71
Iowa,64.52
Wisconsin,64.16
New Hampshire,63.47
Maryland,63.18
Virginia,62.43
Vermont,61.34
North Dakota,61.08
Colorado,60.84
Washington,60.35
Idaho,60.14
Connecticut,60.06
Massachusetts,59.42
Illinois,59.41
Arizona,56.97
New York,56.54
Montana,55.66
Pennsylvania,55.66
Maine,55.44
North Carolina,54.68
Kansas,54.64
Texas,54.64
Michigan,53.09
Georgia,53.03
Florida,51.83
Oregon,51.72
Rhode Island,51.17
Indiana,50.87
Delaware,50.65
Ohio,49.67
Nevada,48.95
South Carolina,48.55
Wyoming,46.96
New Mexico,45.53
Alaska,45.43
Tennessee,44.29
Missouri,43.86
Kentucky,41.69
Mississippi,38.89
Arkansas,37.33
Alabama,36.6
Louisiana,35.35
Oklahoma,34.97
West Virginia,34.89
